Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Você acha que ela está sentido algo mais ? Qual emoção?;Q8. Você acha que ela está sentido algo mais ? Qual emoção?;Q9. Você acha que ela está sentido algo mais ? Qual emoção?;Q10. Você acha que ela está sentido algo mais ? Qual emoção?;Q11. Você acha que ela está sentido algo mais ? Qual emoção?;Q12. Você acha que ela está sentido algo mais ? Qual emoção?;Q13. Você acha que ela está sentido algo mais ? Qual emoção?;Q14. Você acha que ela está sentido algo mais ? Qual emoção?;Q15. Você acha que ela está sentido algo mais ? Qual emoção?;Q16. Você acha que ela está sentido algo mais ? Qual emoção?;Q17. Você acha que ela está sentido algo mais ? Qual emoção?;Q18. Você acha que ela está sentido algo mais ? Qual emoção?;Q19. Você acha que ela está sentido algo mais ? Qual emoção?;Q20. Você acha que ela está sentido algo mais ? Qual emoção?;Q21. Você acha que ela está sentido algo mais ? Qual emoção?;Q22. Você acha que ela está sentido algo mais ? Qual emoção?;Q23. Você acha que ela está sentido algo mais ? Qual emoção?;Q24. Você acha que ela está sentido algo mais ? Qual emoção?;Q25. Você acha que ela está sentido algo mais ? Qual emoção?;Q26. Você acha que ela está sentido algo mais ? Qual emoção?
Masculino;50 até 59 anos;Superior Completo;Não;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Nenhuma (não percebi nada a mais);Felicidade;Felicidade
Masculino;18 até 20 anos;Superior Incompleto;Sim;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Medo;Tristeza;Surpresa;Raiva;Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que)
Masculino;21 até 29 anos;Superior Incompleto;Sim;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa
Masculino;18 até 20 anos;Ensino Médio Completo;Não;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Felicidade;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Surpresa;Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que)
Feminino;18 até 20 anos;Superior Incompleto;Não;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Surpresa;Tristeza;Medo;Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Desgosto;Surpresa;Medo;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Masculino;21 até 29 anos;Superior Incompleto;Sim;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Surpresa;Tristeza;Medo;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Desgosto;Desgosto;Surpresa;Surpresa;Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Surpresa;Raiva;Desgosto
Masculino;18 até 20 anos;Ensino Médio Completo;Sim;Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Felicidade;Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Nenhuma (não percebi nada a mais);Desgosto;Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Felicidade;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que)
Masculino;21 até 29 anos;Superior Incompleto;Não;Surpresa;Nenhuma (não percebi nada a mais);Medo;Medo;Nenhuma (não percebi nada a mais);Surpresa;Tristeza;Nenhuma (não percebi nada a mais);Surpresa;Felicidade;Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Felicidade;Nenhuma (não percebi nada a mais)
Masculino;21 até 29 anos;Superior Completo;Não;Surpresa;Medo;Desgosto;Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Surpresa;Felicidade;Felicidade;Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Desgosto;Nenhuma (não percebi nada a mais);Surpresa;Surpresa;Medo;Surpresa;Nenhuma (não percebi nada a mais);Desgosto
Masculino;18 até 20 anos;Superior Incompleto;Sim;Surpresa;Medo;Tristeza;Desgosto;Medo;Raiva;Raiva;Raiva;Nenhuma (não percebi nada a mais);Felicidade;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
