Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q8. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q9. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q10. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q11. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q12. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q13. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q14. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q15. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q16. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q17. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q18. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q19. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q20. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q21. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q22. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q23. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q24. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q25. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q26. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?
Masculino;18 até 20 anos;Ensino Médio Completo;Sim;Normal;Muito desconfortável;Normal;Normal;Confortável;Normal;Confortável;Muito desconfortável;Muito desconfortável;Confortável;Confortável;Normal;Confortável;Confortável;Confortável;Desconfortável;Normal;Confortável;Normal;Confortável
Feminino;18 até 20 anos;Superior Incompleto;Não;Confortável;Normal;Normal;Desconfortável;Normal;Normal;Normal;Normal;Desconfortável;Normal;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Normal
Feminino;21 até 29 anos;Ensino Médio Completo;Sim;Confortável;Confortável;Desconfortável;Desconfortável;Normal;Normal;Desconfortável;Confortável;Confortável;Confortável;Desconfortável;Desconfortável;Desconfortável;Desconfortável;Confortável;Desconfortável;Normal;Desconfortável;Confortável;Desconfortável
Feminino;18 até 20 anos;Superior Incompleto;Não;Desconfortável;Normal;Desconfortável;Normal;Desconfortável;Normal;Desconfortável;Confortável;Normal;Normal;Normal;Desconfortável;Desconfortável;Desconfortável;Confortável;Desconfortável;Desconfortável;Desconfortável;Normal;Desconfortável
Masculino;18 até 20 anos;Ensino Médio Completo;Não;Desconfortável;Normal;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável
Feminino;18 até 20 anos;Superior Incompleto;Não;Confortável;Normal;Normal;Desconfortável;Normal;Normal;Normal;Normal;Desconfortável;Normal;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Normal
Feminino;40 até 49 anos;Ensino Médio Completo;Não;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Normal
Feminino;30 até 39 anos;Superior Completo;Não;Confortável;Normal;Normal;Desconfortável;Desconfortável;Normal;Normal;Normal;Normal;Normal;Normal;Desconfortável;Normal;Desconfortável;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;50 até 59 anos;Pós-Graduação Completa;Não;Normal;Normal;Normal;Normal;Desconfortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;40 até 49 anos;Pós-Graduação Completa;Não;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Desconfortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
